st;county_name;county_id;postal_code;broadband_usage;error_range_(mae)(+/-);error_range_(95%)(+/-);msd
SC;Abbeville;45001;29620;0,398;0,002;0,007; 0,000
SC;Abbeville;45001;29659;0,206;0,152;0,608; 0,043
SC;Abbeville;45001;29638;0,369;0,010;0,031;-0,001
LA;Acadia Parish;22001;70516;0,032;0,041;0,136; 0,004
LA;Acadia Parish;22001;70559;0,091;0,014;0,043; 0,000
LA;Acadia Parish;22001;70531;0,053;0,023;0,072; 0,000
LA;Acadia Parish;22001;70537;0,181;0,050;0,170; 0,007
LA;Acadia Parish;22001;70543;0,068;0,010;0,031;-0,001
LA;Acadia Parish;22001;70556;0,139;0,065;0,228; 0,013
LA;Acadia Parish;22001;70525;0,138;0,003;0,010;-0,001
LA;Acadia Parish;22001;70526;0,381;0,002;0,007; 0,000
VA;Accomack;51001;23306;0,082;0,034;0,110; 0,002
VA;Accomack;51001;23395;0,000;0,050;0,170; 0,007
VA;Accomack;51001;23480;0,000;0,065;0,228; 0,013
VA;Accomack;51001;23440;0,000;0,050;0,170; 0,007
VA;Accomack;51001;23359;0,042;0,034;0,110; 0,002
VA;Accomack;51001;23426;0,187;0,110;0,406; 0,031
VA;Accomack;51001;23410;0,036;0,014;0,043; 0,000
VA;Accomack;51001;23357;0,000;0,027;0,086; 0,001
VA;Accomack;51001;23302;0,000;0,110;0,406; 0,031
VA;Accomack;51001;23416;0,000;0,050;0,170; 0,007
VA;Accomack;51001;23417;0,081;0,010;0,031;-0,001
VA;Accomack;51001;23308;0,011;0,016;0,048; 0,000
VA;Accomack;51001;23358;0,207;0,152;0,608; 0,043
VA;Accomack;51001;23301;0,247;0,023;0,072; 0,000
VA;Accomack;51001;23415;0,016;0,018;0,054; 0,000
VA;Accomack;51001;23414;0,000;0,152;0,608; 0,043
VA;Accomack;51001;23423;0,000;0,050;0,170; 0,007
VA;Accomack;51001;23418;0,278;0,034;0,110; 0,002
VA;Accomack;51001;23389;0,342;0,152;0,608; 0,043
VA;Accomack;51001;23409;0,619;0,152;0,608; 0,043
VA;Accomack;51001;23427;0,000;0,083;0,302; 0,021
VA;Accomack;51001;23401;0,008;0,083;0,302; 0,021
VA;Accomack;51001;23356;0,040;0,023;0,072; 0,000
ID;Ada;16001;83702;1,000;0,001;0,004; 0,000
ID;Ada;16001;83642;0,957;0,001;0,003; 0,000
ID;Ada;16001;83634;0,657;0,002;0,007; 0,000
ID;Ada;16001;83669;1,000;0,004;0,013; 0,000
ID;Ada;16001;83713;0,663;0,001;0,004; 0,000
ID;Ada;16001;83646;1,000;0,001;0,002; 0,000
ID;Ada;16001;83709;1,000;0,001;0,002; 0,000
ID;Ada;16001;83716;0,336;0,002;0,007; 0,000
ID;Ada;16001;83703;0,984;0,002;0,007; 0,000
ID;Ada;16001;83712;0,405;0,004;0,013; 0,000
ID;Ada;16001;83705;0,840;0,001;0,004; 0,000
ID;Ada;16001;83706;0,961;0,001;0,003; 0,000
IA;Adair;19001;50846;0,120;0,027;0,086; 0,001
IA;Adair;19001;50002;0,114;0,020;0,061; 0,000
IA;Adair;19001;50849;0,290;0,010;0,031;-0,001
IA;Adair;19001;50858;0,146;0,034;0,110; 0,002
IA;Adair;19001;50837;0,000;0,065;0,228; 0,013
KY;Adair;21001;42715;0,307;0,083;0,302; 0,021
KY;Adair;21001;42741;1,000;0,050;0,170; 0,007
KY;Adair;21001;42728;0,305;0,002;0,007; 0,000
KY;Adair;21001;42753;0,019;0,041;0,136; 0,004
MO;Adair;29001;63501;0,543;0,002;0,005; 0,000
MO;Adair;29001;63546;0,081;0,020;0,061; 0,000
MO;Adair;29001;63540;0,000;0,152;0,608; 0,043
MO;Adair;29001;63533;0,000;0,041;0,136; 0,004
OK;Adair;40001;74931;0,292;0,027;0,086; 0,001
OK;Adair;40001;74960;0,311;0,003;0,010;-0,001
OK;Adair;40001;74964;0,162;0,014;0,043; 0,000
OK;Adair;40001;74457;0,086;0,050;0,170; 0,007
CO;Adams; 8001;80022;1,000;0,001;0,003; 0,000
CO;Adams; 8001;80602;0,949;0,001;0,004; 0,000
CO;Adams; 8001;80136;0,441;0,010;0,031;-0,001
CO;Adams; 8001;80233;1,000;0,001;0,003; 0,000
CO;Adams; 8001;80045;0,560;0,023;0,072; 0,000
CO;Adams; 8001;80221;1,000;0,001;0,003; 0,000
CO;Adams; 8001;80031;1,000;0,001;0,003; 0,000
CO;Adams; 8001;80234;0,988;0,001;0,004; 0,000
CO;Adams; 8001;80260;0,692;0,001;0,004; 0,000
CO;Adams; 8001;80024;0,083;0,083;0,302; 0,021
CO;Adams; 8001;80601;1,000;0,001;0,004; 0,000
CO;Adams; 8001;80019;0,812;0,016;0,048; 0,000
CO;Adams; 8001;80102;0,670;0,010;0,031;-0,001
CO;Adams; 8001;80229;0,897;0,001;0,002; 0,000
CO;Adams; 8001;80640;0,906;0,004;0,013; 0,000
IA;Adams;19003;50839;0,000;0,197;0,869; 0,022
IA;Adams;19003;50857;0,153;0,083;0,302; 0,021
IA;Adams;19003;50859;0,058;0,041;0,136; 0,004
ID;Adams;16003;83612;0,141;0,016;0,048; 0,000
ID;Adams;16003;83632;0,000;0,083;0,302; 0,021
ID;Adams;16003;83654;0,042;0,018;0,054; 0,000
IL;Adams;17001;62339;0,770;0,034;0,110; 0,002
IL;Adams;17001;62349;0,362;0,050;0,170; 0,007
IL;Adams;17001;62301;0,688;0,001;0,003; 0,000
IL;Adams;17001;62359;0,000;0,110;0,406; 0,031
IL;Adams;17001;62365;0,094;0,050;0,170; 0,007
IL;Adams;17001;62348;0,000;0,110;0,406; 0,031
IL;Adams;17001;62351;0,601;0,018;0,054; 0,000
IL;Adams;17001;62347;0,286;0,016;0,048; 0,000
IL;Adams;17001;62305;0,372;0,002;0,005; 0,000
IL;Adams;17001;62338;1,000;0,027;0,086; 0,001
IL;Adams;17001;62376;0,730;0,027;0,086; 0,001
IL;Adams;17001;62324;0,279;0,027;0,086; 0,001
IL;Adams;17001;62346;0,056;0,083;0,302; 0,021
IL;Adams;17001;62320;0,407;0,018;0,054; 0,000
IN;Adams;18001;46740;0,090;0,010;0,031;-0,001
IN;Adams;18001;46772;0,174;0,018;0,054; 0,000
MS;Adams;28001;39120;0,459;0,001;0,004; 0,000
ND;Adams;38001;58639;0,735;0,018;0,054; 0,000
ND;Adams;38001;58649;0,186;0,065;0,228; 0,013
NE;Adams;31001;68973;1,000;0,065;0,228; 0,013
NE;Adams;31001;68956;0,783;0,027;0,086; 0,001
