st,county_name,county_id,postal_code,broadband_usage,error_range_(mae)(+/-),error_range_(95%)(+/-),msd
SC,Abbeville,45001,29639,0.948,0.034,0.11,0.002
SC,Abbeville,45001,29628,0.221,0.014,0.043,0
LA,Acadia Parish,22001,70578,0.201,0.002,0.007,0
LA,Acadia Parish,22001,70534,0.083,0.034,0.11,0.002
VA,Accomack,51001,23337,0.122,0.041,0.136,0.004
VA,Accomack,51001,23336,1,0.01,0.031,-0.001
VA,Accomack,51001,23442,0.322,0.027,0.086,0.001
VA,Accomack,51001,23421,0.068,0.01,0.031,-0.001
VA,Accomack,51001,23422,0.02,0.152,0.608,0.043
VA,Accomack,51001,23303,0.065,0.027,0.086,0.001
VA,Accomack,51001,23488,0.028,0.11,0.406,0.031
VA,Accomack,51001,23420,0.042,0.01,0.031,-0.001
VA,Accomack,51001,23441,0.362,0.11,0.406,0.031
VA,Accomack,51001,23407,0.035,0.065,0.228,0.013
ID,Ada,16001,83616,0.965,0.002,0.005,0
ID,Ada,16001,83714,0.433,0.002,0.005,0
ID,Ada,16001,83704,0.888,0.001,0.003,0
MO,Adair,29001,63559,0.233,0.02,0.061,0
OK,Adair,40001,74965,0.415,0.01,0.031,-0.001
CO,Adams,8001,80241,0.624,0.001,0.004,0
CO,Adams,8001,80030,0.993,0.002,0.007,0
IA,Adams,19003,50841,0.231,0.01,0.031,-0.001
ID,Adams,16003,83643,0,0.11,0.406,0.031
IL,Adams,17001,62360,0.448,0.02,0.061,0
IL,Adams,17001,62325,0.69,0.05,0.17,0.007
IN,Adams,18001,46711,0.19,0.006,0.018,-0.001
IN,Adams,18001,46733,0.344,0.002,0.005,0
NE,Adams,31001,68901,0.668,0.001,0.004,0
NE,Adams,31001,68950,0.403,0.05,0.17,0.007
PA,Adams,42001,17350,0.248,0.003,0.01,-0.001
WA,Adams,53001,99105,0.563,0.197,0.869,0.022
WA,Adams,53001,99169,0.12,0.01,0.031,-0.001
WI,Adams,55001,53910,0.144,0.01,0.031,-0.001
WI,Adams,55001,54613,0.12,0.018,0.054,0
VT,Addison,50001,5760,0.119,0.027,0.086,0.001
VT,Addison,50001,5766,0.039,0.041,0.136,0.004
VT,Addison,50001,5443,0.336,0.006,0.018,-0.001
VT,Addison,50001,5472,0.161,0.02,0.061,0
VT,Addison,50001,5491,0.143,0.006,0.018,-0.001
SC,Aiken,45003,29803,0.642,0.001,0.003,0
SC,Aiken,45003,29809,0.24,0.01,0.031,-0.001
SC,Aiken,45003,29850,0.023,0.05,0.17,0.007
SC,Aiken,45003,29828,0.061,0.027,0.086,0.001
MN,Aitkin,27001,56350,0.376,0.05,0.17,0.007
FL,Alachua,12001,32612,1,0.197,0.869,0.022
FL,Alachua,12001,32616,0.101,0.034,0.11,0.002
FL,Alachua,12001,32631,0.535,0.05,0.17,0.007
FL,Alachua,12001,32606,0.386,0.002,0.005,0
FL,Alachua,12001,32608,0.859,0.001,0.002,0
NC,Alamance,37001,27349,0.132,0.006,0.018,-0.001
NC,Alamance,37001,27201,0.036,0.197,0.869,0.022
CA,Alameda,6001,94610,0.654,0.001,0.003,0
CA,Alameda,6001,94552,0.271,0.002,0.007,0
CA,Alameda,6001,94551,1,0.001,0.003,0
CA,Alameda,6001,94707,1,0.003,0.01,-0.001
CA,Alameda,6001,94580,0.349,0.002,0.005,0
CA,Alameda,6001,94501,0.626,0.001,0.002,0
NY,Albany,36001,12469,0.101,0.034,0.11,0.002
NY,Albany,36001,12159,0.271,0.004,0.013,0
NY,Albany,36001,12202,0.303,0.003,0.01,-0.001
NY,Albany,36001,12009,0.292,0.004,0.013,0
NY,Albany,36001,12084,0.421,0.01,0.031,-0.001
NY,Albany,36001,12183,0.302,0.01,0.031,-0.001
NY,Albany,36001,12222,1,0.197,0.869,0.022
WY,Albany,56001,82072,0.428,0.002,0.007,0
WY,Albany,56001,82063,0.193,0.11,0.406,0.031
VA,Albemarle,51003,22901,0.893,0.001,0.003,0
